,Country Name,Goverment expenditures on mental health (%),2011,Self-harm,Cantidad salud mental
0,Algeria,7.37,287.3861084,4.462070327,21.18035618908
1,Armenia,3.38,330.5755615,8.749870878,11.1734539787
2,Australia,7.64,5861.702637,10.64535537,447.8340814668
3,Azerbaijan,2.5,176.4084778,4.649638539,4.410211945
4,Brazil,2.38,1031.576172,6.015857698,24.5515128936
5,Bulgaria,1.4,555.8641968,9.495240021,7.782098755199999
6,Burundi,0.34,25.13240814,13.39437519,0.085450187676
7,Cameroon,0.26,56.36682129,15.35598699,0.14655373535400001
8,Canada,7.2,5355.67627,10.66312604,385.60869144000003
9,Chile,2.78,991.2028809,10.86631856,27.555440089019996
10,Costa Rica,2.91,749.6449585,7.232165736,21.814668292350003
11,Cyprus,4.82,2114.668945,4.708178271,101.92704314900001
12,Dominica,3.22,376.9500732,4.392754151,12.13779235704
13,Dominican Republic,0.61,335.0012817,7.336593103,2.04350781837
14,Ecuador,1.2,409.0367737,10.54268396,4.9084412844
15,Eritrea,1.91,33.50611496,17.29992142,0.639966795736
16,Estonia,5.78,1015.968262,15.20615646,58.722965543600004
17,Fiji,1.9,148.8311462,10.03914027,2.8277917778
18,Finland,3.86,4715.935059,15.33670561,182.0350932774
19,France,12.91,4939.310547,14.9076949,637.6649916177
20,Gabon,0.62,276.1181946,12.98241524,1.71193280652
21,Georgia,2.83,296.6886902,6.235293255,8.39628993266
22,Germany,11.0,5036.484863,9.847347404,554.0133349299999
23,Ghana,2.0,100.2524643,10.05824901,2.005049286
24,Greece,4.43,2338.915771,3.513058004,103.61396865529998
25,Guatemala,1.46,189.2429047,6.077593218,2.76294640862
26,Guyana,1.35,190.9325562,29.42076808,2.5775895087
27,Haiti,0.61,75.70629883,8.956313019,0.46180842286299995
28,Honduras,1.61,183.6016846,4.498692854,2.9559871220600002
29,Hungary,5.1,1063.432251,17.49222783,54.23504480099999
30,Iceland,8.69,3866.707275,9.556773039,336.0168621975
31,Jamaica,6.04,267.7389832,3.098818407,16.17143458528
32,Japan,4.94,5087.356445,18.16469437,251.31540838300003
33,Latvia,5.9,764.5917358,18.16570162,45.1109124122
34,Lebanon,4.8,627.6420898,4.852307012,30.1268203104
35,Lesotho,1.8,125.0348663,34.33019893,2.2506275934
36,Malawi,1.0,40.08781815,12.96103989,0.4008781815
37,Malaysia,0.39,352.2692261,7.220894961,1.3738499817900003
38,Malta,6.71,1960.061157,4.479659051,131.5201036347
39,Marshall Islands,0.4,453.5579834,23.90852493,1.8142319336000001
40,Mexico,0.65,581.7102661,6.075077847,3.78111672965
41,Mongolia,2.0,134.7506256,17.13495399,2.695012512
42,Nepal,0.7,34.68226624,8.717485886,4.885295898699999
43,Netherlands,10.65,5562.121094,9.028925534,3.69366135456
44,New Zealand,10.0,3625.772461,11.66440662,556.2121093999999
45,Nicaragua,1.0,123.3549881,6.890053164,36.25772461
46,Papua New Guinea,0.1,55.21439743,24.36756162,0.12335498810000001
47,Paraguay,0.31,268.8555603,5.9390557,3.6473849986
48,Peru,0.27,269.9985046,3.718331538,0.14907887306099998
49,Poland,5.08,866.0946655,16.06926413,13.657862463239999
50,Portugal,5.24,2210.587402,9.030942241,14.147921641040002
51,Saudi Arabia,3.89,881.395752,2.983806097,33.69108248795
52,Singapore,4.14,1676.001831,8.534813622,91.5183184428
53,Slovenia,8.0,2147.805176,15.53311851,339.87816408
54,Solomon Islands,1.3,115.5050507,17.18067023,11.458144776000001
55,Spain,5.0,2909.117676,5.823779799,83.80009154999999
56,Sweden,10.0,6354.291992,11.71893396,214.7805176
57,Thailand,4.0,195.9727325,10.43760015,4.620202028
58,Uzbekistan,2.32,100.0902252,9.299063131,67.49153008319999
59,Zimbabwe,0.01,88.38669586,30.68367645,0.6354291992000001
